engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,seats,body_type,city,mileage_numeric,car_age,price_in_lakhs,brand,model
2179.0,Third Party insurance,Manual,150000.0,Second Owner,Diesel,8,SUV,Agra,15.4,14,3.0,Mahindra,Scorpio
2179.0,Third Party insurance,Manual,150000.0,Second Owner,Diesel,8,SUV,Agra,15.4,14,3.0,Mahindra,Scorpio
998.0,Third Party insurance,Manual,50000.0,Third Owner,Petrol,5,Hatchback,Agra,20.51,10,2.5,Maruti,Wagon
1248.0,Third Party insurance,Manual,120000.0,Third Owner,Diesel,5,Sedan,Agra,26.59,10,4.0,Maruti,Swift
1582.0,Third Party insurance,Manual,90000.0,Second Owner,Diesel,5,Sedan,Agra,22.32,13,3.7,Hyundai,Verna
0.0,Third Party insurance,Automatic,10500.0,First Owner,Electric,5,SUV,Gurgaon,122.5,9,96.8,Audi,e-tron
1395.0,Comprehensive,Automatic,45000.0,Second Owner,Petrol,5,SUV,Gurgaon,16.9,9,24.8,Audi,Q3
1998.0,Third Party insurance,Automatic,38000.0,First Owner,Petrol,4,Sedan,Gurgaon,14.28,9,46.9,BMW,6
1798.0,Comprehensive,Automatic,49000.0,Second Owner,Petrol,5,Sedan,Gurgaon,15.26,9,21.9,Audi,A6
1968.0,Zero Dep,Automatic,46000.0,Second Owner,Diesel,5,Sedan,Gurgaon,18.25,9,22.9,Audi,A4
1968.0,Comprehensive,Automatic,29000.0,First Owner,Diesel,5,SUV,Gurgaon,15.73,9,13.9,Audi,Q3
1395.0,Comprehensive,Automatic,27000.0,First Owner,Petrol,5,Sedan,Gurgaon,17.84,9,27.9,Audi,A4
2143.0,Comprehensive,Automatic,120000.0,Second Owner,Diesel,5,Sedan,Gurgaon,13.0,9,11.9,CDI,
2967.0,Comprehensive,Automatic,70000.0,First Owner,Diesel,7,SUV,Gurgaon,12.07,9,36.9,Audi,Q7
1796.0,Comprehensive,Automatic,72100.0,First Owner,Petrol,5,Sedan,Gurgaon,11.74,9,11.9,C,200
0.0,Third Party insurance,Automatic,9900.0,First Owner,Electric,5,SUV,Gurgaon,122.5,9,1.04,Audi,e-tron
1395.0,Comprehensive,Automatic,46300.0,First Owner,Petrol,5,Sedan,Gurgaon,19.2,9,24.9,Audi,A3
2995.0,Third Party insurance,Automatic,18000.0,First Owner,Petrol,5,SUV,Gurgaon,9.8,9,89.0,Audi,Q8
1968.0,Comprehensive,Automatic,38000.0,Second Owner,Diesel,5,SUV,Gurgaon,15.17,9,20.9,Audi,Q3
